,title,author_info,rating,pros,cons,helpful
52,Salesforce,,1.0,"Brand, Flexibility, Great Work Benefits Global implementation, Work Projects",Culture Challenging for Black women Misleading on the data that tell the true picture of current state (marketing),8 people found this review helpful
53,salary,,5.0,Work-life balance during the pandemic,No free food in the cafeteria,Be the first to find this review helpful
54,Great place to work,,5.0,"Care for people, great culture","Too much processes, less stock",Be the first to find this review helpful
55,Culture struggling to scale,,3.0,"Salesforce truly does great work in the community, and has best in class employee benefits. I think the business is in great shape for future financial success. Most days, it's a company I'm proud to work for.","Salesforce's culture of innovation is being stifled by constant dictates from the top of the org chart that are constantly changing. Seasoned, well respected leaders are leaving in droves, particularly in the marketing organization. ""Marc says"" is how we make decisions now...so much for actually using our ""V2MOM"" to prioritize and reprioritize work. It's all about doing more work on tighter deadlines while only paying lip service to 'wellbeing'. It feels like constant chaos because we can’t stay the course on anything.",5 people found this review helpful
56,"Best Place to Work, Hands Down",,5.0,Values-led company with great products and smart people who care.,"If you’re in the right role, there really aren’t any cons. But prioritize your wellness and extracurriculars, because it’s an addicting place to work.",Be the first to find this review helpful
57,5 star,,5.0,The culture and the people,I cannot think of one,Be the first to find this review helpful
58,Great Company,,5.0,Great culture! Leadership truly has best interest of employees and customers in mind.,Not enough resources for new hires,Be the first to find this review helpful
59,Good,,5.0,"Most people know the company, so makes cold calling easier.",High stress; you are pushed along the sales path.,Be the first to find this review helpful
60,Competitive sales driven environment,"Jun 18, 2021 - Senior Sales Executive in San Francisco, CA",2.0,There are good people you can find to surround yourself with,Senior leadership only cares about numbers and not people. Lack of women in leadership.,1 person found this review helpful
61,Salesforce Exceeds Your Expectations,"May 31, 2021 - Customer Insights Manager in Atlanta, GA",5.0,"I have been blown away by my experience at Salesforce. Everything you hear about the company is true - extraordinary people, transparent and visionary leaders, meaningful work, and best in class salary/benefits. I was hesitant to make a job switch during the pandemic, but it was one of the best decisions that could have been made. Grateful to work at such a great company.","Being a technology company, Salesforce moves fast and furious. If you’re not ready for constant change by design, Salesforce would frustrate you.",1 person found this review helpful
62,"Get in, learn fast, and get out quickly!","Jun 16, 2021 - Technical Support Engineer Tier II in Hillsboro, OR",2.0,good product experience and market demand,"Too many changes from management, added work for no raise, and average team.",2 people found this review helpful
63,Great Company,"Jun 3, 2021 - Software Developer",5.0,"I love the ""family first"" environment that is encouraged.","Only been with the company for about a year, so nothing here yet.",Be the first to find this review helpful
64,Incredible Company,"Jun 3, 2021 - Account Executive",5.0,I’ve worked at another F500 leading company and Salesforce is night and day better. Truly cares for its employees wellbeing. Cares about the environment and global challenges. Embracing digital shift and WFH.,"Competitive high growth targets, but that comes with a career in sales.",Be the first to find this review helpful
65,Not perfect but very close!,"Jun 3, 2021 - Anonymous Employee",5.0,Great culture and company values,Growing pains at our clip,Be the first to find this review helpful
66,AE,"Jun 3, 2021 - Assistant Account Executive in Raleigh, NC",5.0,-great brand reputation and commission,-very large company; can be hard being remote,Be the first to find this review helpful
67,Its Marketing,"Jun 9, 2021 - Solution Architect in San Francisco, CA",2.0,On the surface appears to have great company values and commitment but internally its all a smokescreen,"Toxic, back biting, gossip, no one can say the emperor has no clothes, completely subjective",7 people found this review helpful
68,depends on the management,"Jun 17, 2021 - Salesforce Consultant in San Francisco, CA",4.0,"rely on management, open, transparent",transparent only what u should know lol,Be the first to find this review helpful
69,Wasn't for me.,"Jun 11, 2021 - Support Engineer in Hillsboro, OR",4.0,"Great pay. Room for advancement. My managers were great people. Lot's of office perks like free snacks, full coffee bar, and recreation activities.","You need to have a certain disposition to fit in here. There's a sort of cult vibe going on that's hard to explain. Everyone tries to be positive about everything to a fault and questioning things is a no-no. Those that don't drink the Kool-Aid can feel alienated. Endless amount of training and distractions that had nothing to do with my job, and often interfered with getting the real work done.",2 people found this review helpful
70,Super Good,"May 26, 2021 - Software Engineer(Internship) in San Francisco, CA",5.0,Good WLB and super nice to its interns,Currently no... Need at least 5 words so..,1 person found this review helpful
71,Political,"Aug 12, 2021 - Marketing Specialist in San Francisco, CA",3.0,Great place to get a quick start in tech marketing and learning from some great minds.,You spend a lot of time having to promote yourself rather than focusing on your job,1 person found this review helpful
72,Fun,"Jun 11, 2021 - Account Executive in Dallas, TX",5.0,"Fun, Great Resources, Great Leadership",I have not seen any so far,Be the first to find this review helpful
73,Strong Team and Culture,"Mar 20, 2021 - Customer Sucess Manager in New York, NY",5.0,It feels like we are all rowing in the same direction with our Customer-oriented focus and range of values. Everyone is eager to help out whenever possible.,Very large organization so career growth can be relatively slow but there are a lot of opportunities,Be the first to find this review helpful
74,Strong Innovative Company,"Apr 19, 2021 - Vice President Product Management in Chicago, IL",5.0,"Great culture, training and career growth. Very focused on innovation and open to new ideas.",At the time there was a lot of travel and offsite meetings. As the company gets larger more red tape.,Be the first to find this review helpful
75,Ask about DEI and Growth in your interview process,"Aug 26, 2021 - Program Manager in San Francisco, CA",1.0,"Networking opportunities, benefits. pay rate","Toxic culture for smaller teams, perfectionism is valued, senior leadership is unreliable, no work/life balance, HR is biased towards long-term employees",4 people found this review helpful
76,Incredible company,"May 7, 2021 - Enterprise Account Executive",5.0,Salesforce truly does take care of employees. Best company I have been at and would highly reccommend to anyone in software sales,Work life balance can be tough,Be the first to find this review helpful
77,salary,"Jun 6, 2021 - Sales Associate",5.0,Work-life balance during the pandemic,No free food in the cafeteria,Be the first to find this review helpful
78,Best Company,"Jun 1, 2021 - Operations Manager in San Francisco, CA",5.0,Innovative and Great Work Life Balance,There are no cons in my opinion,Be the first to find this review helpful
79,Great Company to work for!,"May 6, 2021 - Anonymous Employee",5.0,Great Company to work for!,So far it has been great! Things tend to move a bit slow but that's natural to any large organization,Be the first to find this review helpful
80,5 star,"Jun 5, 2021 - Sales Manager in Los Angeles, CA",5.0,The culture and the people,I cannot think of one,Be the first to find this review helpful
81,Great place to grow and very inclusive to different backgrounds and experience,"Apr 12, 2021 - Product Marketing Specialist in San Francisco, CA",5.0,Lots of opportunity (different teams within the company) and plenty of teams who are inclusive,Such a big company! May be hard to move up for your position to something more senior,Be the first to find this review helpful
82,Top Notch Sales Org,"Feb 21, 2021 - Account Executive in New York, NY",5.0,"Best sales enablement tools in the game - fast paced environment where you need to be organized to succeed, network with your peers, and take active feedback from others.",Base pay is low but you make up for it in uncapped commission - total OTE is very high but quotas are high,Be the first to find this review helpful
83,Great culture,"Aug 30, 2021 - Anonymous Employee",4.0,"Challenging, values, manager support, remote options, benefits","Long hours, demanding, competitive/can be difficult to get promoted",Be the first to find this review helpful
84,Opportunity for Growth,"May 3, 2021 - Business Development Representative in Seattle, WA",5.0,-Quickly move up -Access to networking with people in all positions -Unlimited resources to help you grow/learn,"-Large company, there can be a decent amount of red tape",Be the first to find this review helpful
85,It's fine. I wouldn't advise against.,"Jul 27, 2021 - Senior Manager Strategy in San Francisco, CA",3.0,Flexible work. Great perks. 401K matching. Flexible time off. Help during emergencies. Seriously 9/10 perks!,Weird culture. Very koolaid. Very dependent on your workgroup.,Be the first to find this review helpful
86,Great company,"May 18, 2021 - Sales Executive in Boston, MA",5.0,"I've worked across multiple industries, SF has been fantastic from the start.","Not much to say here, I like it.",Be the first to find this review helpful
87,Great Company With Good Work Life Balance,"May 11, 2021 - Engineering Manager",5.0,- Work life balance - Global Impact - Growth Opportunity - Flexible Work Hours,- Stock Refreshes - Travel to San Francisco -,Be the first to find this review helpful
88,Great company to work for!,"Aug 26, 2021 - Software Developer in Austin, TX",4.0,Best culture in the industry!,"As with any large company, bureaucracy can become an issue.",Be the first to find this review helpful
89,"Great product and leadership, $$ means all","May 19, 2021 - Account Executive, Service Cloud in San Francisco, CA",4.0,"Great upper management, fantastic product, good positive team to work with. I have never worked with a more intelligent group of people in the growth segment.",Some territories are filled with problems and more account management issues. Salesforce org health determines all new business transactions. Very hands off post sale and little to no customer success help.,1 person found this review helpful
90,Great place to work but some growth hurdles,"Aug 3, 2021 - Business Analyst in Chicago, IL",4.0,A lot of company initiatives to help employees enjoy the the culture of working there.,"Some managers aren't supportive of growth, employees move teams to experience promotions.",Be the first to find this review helpful
91,Good,"Jun 1, 2021 - Senior Customer Success Manager in New York, NY",5.0,Salesforce is a very good company,I do not have any cons,Be the first to find this review helpful
92,Fabulous Place to Work!,"May 3, 2021 - Customer Success Guide in Denver, CO",5.0,"Once you’re in, you’re given the freedom and flexibility to explore multiple roles within the company.",Still a “startup mentality”—so keep in mind all this entails!,Be the first to find this review helpful
93,Great place to learn and grow,"Aug 7, 2021 - Technical Architect in Boston, MA",4.0,Great way to interface with CXO's Learn about customer trends and advice them on their vision,Definitely need a cafe in the some of the offices ;),Be the first to find this review helpful
94,Great career move,"May 25, 2021 - Senior Financial Analyst in Indianapolis, IN",5.0,Great culture and work life balance,Large company with corporate politicking required to advance,Be the first to find this review helpful
95,Great career growth,,3.0,"Career growth, great exposure, top company in the market","Slow promotional path, AEs rely a ton on solutions engineer. Difficult time management",Be the first to find this review helpful
96,Good place to work at,,5.0,Can't think of anything not good,Nothing really that can goes here,Be the first to find this review helpful
97,Good company overall,,5.0,Flexible work hours & convenient office location,no lunch served at the office,Be the first to find this review helpful
98,"Great place to work, cares about employees",,5.0,Great company culture with highly impactful products.,"Progress and decision-making can sometimes be slow, given it's an enterprise company.",Be the first to find this review helpful
99,"Great company, great culture",,5.0,"Great WLB, great peers and bosses",Growth can get limited for certain roles/teams,Be the first to find this review helpful
100,good place,,4.0,good culture so employee centric,changing rapidly so not good,Be the first to find this review helpful
101,Valued and Empowered,,5.0,"Open and value driven culture, often empowered to drive vision","Too many initiatives, at times lacks strategy",Be the first to find this review helpful
102,"Great position, team and benefits",,5.0,onboarding process is methodical and interactive; manager is engaged and promotes communication; benefits are top notch; diversity and inclusion are ingrained and it shows; well informed company wide,"a little slow in preparing us for customer interactions , presentations and demos (Mulesoft). Certification dev course is not really applicable to my position. At least not at that detail.",1 person found this review helpful
103,Chilling work environment,,3.0,Feeling like I’m in a retirement,Too chilled from time to time,Be the first to find this review helpful
104,Great company!,,5.0,Benefits and brand recognition are great!,Too many cookies involved in each deal,1 person found this review helpful
105,Great place to learn and grow.,,5.0,Great place to work and learn.,Lots of politics that come with large companies.,Be the first to find this review helpful
106,Great Company With Good Work Life Balance,,5.0,- Work life balance - Global Impact - Growth Opportunity - Flexible Work Hours,- Stock Refreshes - Travel to San Francisco -,Be the first to find this review helpful
107,Everything you can ask for.,,5.0,Impactful work that will change the world.,Big company bureaucracy to navigate through.,Be the first to find this review helpful
108,Great Culture At Work,,5.0,-Great workplace environment -Lot of learning opportunities,Low promotion transparency No Stock Options for Business Analyst,Be the first to find this review helpful
109,Good company,,4.0,culture and wlb is great,dated technology and process heavy,Be the first to find this review helpful
110,"Culture, challenge, and opportunity",,5.0,"Commitment to culture (employee-friendly), values (e.g. trust, equality), philanthropy (1:1:1 model), great people Never boring, always challenging work to do Plenty of opportunity to try new things, move within the company. Continued company growth also means opportunities for advancement","Constant change, i.e. company growth, org changes/restructure Frequent acquisition activity often causes disruption, which is often very challenging",1 person found this review helpful
111,Great teammates and great management,,5.0,Team selling environment that has a product offering that continues to expand and allow AEs to provide value to customers rather than be a vendor,"Since it is a bigger company now, there aren't major ways to get equity exposure other than the ESPP (which is still a solid way)",Be the first to find this review helpful
112,Great place,,5.0,Everything was awesome here !,Nothing was bad here !,Be the first to find this review helpful
113,Great Company but not Perfect,,4.0,"Best product out there hands down, forward thinking, diverse bag of products to sell makes for lots of opportunities. Great benefits package, 6 month maternity/paternity leave.",Pay is low relative to other SaaS companies and creating even territories is a challenge for management - some people thrive and others starve and it is typically not due to differences in skill set.,3 people found this review helpful
114,Great company,,4.0,"Work and life balance, salary.","Upper management, communication, uncertainty, Surveys",Be the first to find this review helpful
115,Collections for finance,,4.0,"Equality, Pay, Overall great company. So far the best company I've worked for.",Trying to balane work and life can be difficult at times.,Be the first to find this review helpful
116,Washington DC,,5.0,"Great benefits, fair compensation, great team","large company, tough to navigate promotion process",1 person found this review helpful
117,It was OK,,4.0,Training was very strong -,Politics - just a big game,2 people found this review helpful
118,depends what you're looking for,,3.0,"salary, benefits, name-brand, good work life balance","corporate red tape, to grow in the company you have to find a new team, lack of transparency from leadership",2 people found this review helpful
119,Best place to work,,5.0,Best place to work - hands down,"none at all, best place to work",Be the first to find this review helpful
120,A Dead End for Software Engineers,,1.0,Great benefits Great Remote flexibility for the engineering side of the house Decent work-life balance (assuming you don't have a bad manager) Looks great on a resume,"A career dead-end for an engineer - this is not a place to learn and grow your technical skills. Prepare to spend about 70% of your time dealing with corporate bureaucracy and maybe 30% doing real engineering work. Organization as a whole is extremely close-minded and not open to new ideas, contrary to the value of ""innovation"".",9 people found this review helpful
121,sense of urgency?? not nere,,2.0,Good benefits. Great work/life balance. Very nice offices.,Less than 5% of people there have any kind if sense of urgency about anything. Why fix something today when you can do it tomorrow? :(,3 people found this review helpful
122,Great Company,,5.0,"Great perks, stocks, increment, Opportunity to explore and learn new skills. Lots of growth opportunities",Nothing I noticed till now,Be the first to find this review helpful
123,"Great product and leadership, $$ means all",,4.0,"Great upper management, fantastic product, good positive team to work with. I have never worked with a more intelligent group of people in the growth segment.",Some territories are filled with problems and more account management issues. Salesforce org health determines all new business transactions. Very hands off post sale and little to no customer success help.,1 person found this review helpful
124,Cult-ture is strong,,3.0,Salesforce provides a lot of resources to help their employees financially or personally to ensure their people are happy.,"Salesforce loves to talk about how great they are and find it necessary to have a 60 minute all-hands call with executive leadership every single week. Most often, nothing important is communicated. This could be a personal preference, but I don't particularly care for the ""cult"" like culture Salesforce has. Everything is so ""rah-rah look how great we are! everyone should want to talk to Salesforce!"" in reality customers aren't dying to do so....",6 people found this review helpful
125,Great place to work,,5.0,Great place to work and always new doors opening,Can get lost in the crowd,Be the first to find this review helpful
126,Great company with amazing values,,5.0,Good values Nice place to work Nice people,Workload can be crazy at times.,Be the first to find this review helpful
127,Great place to work!,,5.0,"Great leadership, PTO/VTO, flexible remote, visible management","Siloed products, N/A N/A N/A",Be the first to find this review helpful
128,Great culture,,4.0,"Great culture, Customers love the product",Lots of scrutiny on activity,Be the first to find this review helpful
129,Great place to work,,4.0,"WLB is great, and engineers generally get autonomy to perform what they see fit.",Documentation and code are structured very whimsically. This makes hunting things down a pain.,Be the first to find this review helpful
130,Fast paced,,4.0,Great benefits while working for Salesforce,Too many org changes happening,Be the first to find this review helpful
131,Sales,,3.0,the product is the Meta,the culture is abhorrent and perpetuated by weak management,Be the first to find this review helpful
132,Great Company,,5.0,Great career growth and WLB,None as such. Tech stack could be better.,Be the first to find this review helpful
133,Great company work at,,5.0,"Good culture and good people, good work-life balance",Relatively old technology and many acquisitions,Be the first to find this review helpful
134,Overall good experience,,5.0,"Great environment, a lot of the same big company issues but in general people are solid","Large company, mgmt often virtue signals but at least it is all positive.",Be the first to find this review helpful
135,Great company,"May 4, 2021 - Anonymous Employee",5.0,"Good benefits, good pay, good people",Not that transparent about promotions even though they claim to be,Be the first to find this review helpful
136,Trailhead Account Executive at Salesforce,"May 18, 2021 - Account Executive in New York, NY",4.0,"Great culture at SFDC, great benefits",Promotion process is not clear,Be the first to find this review helpful
137,Amazing Culture,"May 18, 2021 - Associate Solution Engineer in San Francisco, CA",4.0,"Benefits, culture, constant innovation, flexibility, and team support","pay, cross cloud deals, no unlimited PTO, performance cycle, and referral process",Be the first to find this review helpful
138,High stress,"May 18, 2021 - Principal Product Security Engineer in Bellevue, WA",4.0,Great pay Good team building Short commute Great incentives,High stress Misunderstandings with management Can’t move up easily,Be the first to find this review helpful
139,Sales Development Representative,"May 18, 2021 - Sales Development Representative",4.0,- Great culture and benefits,- High volume and lots of pressure to hit your numbers,Be the first to find this review helpful
140,Fantastic all around,"May 18, 2021 - Director",4.0,"Great team members and collaboration, excellent company values and culture, great benefits, time off for volunteer work",Lots of room to grow and mature as a company,Be the first to find this review helpful
141,Is this becoming the Wild West?,"May 4, 2021 - Web Experience Manager",3.0,"- PEOPL E: Talents pool and International Growth Strategy always keeps things interesting and exciting - RESOURCES: The V2MOM is an amazingly useful tool, that can truly allow teams to align on leadership values and priorities, and maximize team performance. - VALUES: Community volunteering is very much encouraged","After multiple reOrgs, acquisitions, and quarantine: - VISION: Leadership misalignment is on the rise, as illustrated by the recent departure of many OG leaders, and increasing feedback from the battle grounds - CULTURE: Self-serving employees mobbing mentality is trending UP, due to competition and despite HR policies, and psychological safety is most definitely trending DOWN",7 people found this review helpful
142,Good job,"May 18, 2021 - Account Executive in South San Francisco, CA",3.0,"Good benefits, good solutions to sell",Low pay for stature of company,Be the first to find this review helpful
143,Great company and great people,"May 3, 2021 - BDR, Large Enterprise in Chicago, IL",5.0,- Amazing people you get to work closely with - Constantly learning/challenging yourself - comfortable pay - clear path to growth - great management that is dedicated to your success,- sometimes managers can be micromanagers - every february there is a reorganization/retiering of accounts - meaning you have a brand new territory every year (typically) this can either be good or bad,Be the first to find this review helpful
144,NA,"May 3, 2021 - Dev Support",5.0,Great work place. Work-life balance is really good.,None that I seem to have found so far,Be the first to find this review helpful
